ccode1,stateabb1,ccode2,stateabb2,year,defense,neutrality,nonaggression,entente
2,USA,20,CAN,1949,1,0,1,1
2,USA,20,CAN,1950,1,0,1,1
2,USA,20,CAN,1951,1,0,1,1
2,USA,20,CAN,1952,1,0,1,1
2,USA,20,CAN,1953,1,0,1,1
2,USA,20,CAN,1954,1,0,1,1
2,USA,20,CAN,1955,1,0,1,1
2,USA,20,CAN,1956,1,0,1,1
2,USA,20,CAN,1957,1,0,1,1
2,USA,20,CAN,1958,1,0,1,1
2,USA,20,CAN,1959,1,0,1,1
2,USA,20,CAN,1960,1,0,1,1
2,USA,20,CAN,1961,1,0,1,1
2,USA,20,CAN,1962,1,1,1,1
2,USA,20,CAN,1963,1,1,1,1
2,USA,20,CAN,1964,1,1,1,1
2,USA,20,CAN,1965,1,0,1,1
2,USA,20,CAN,1966,1,0,1,1
2,USA,20,CAN,1967,1,0,1,1
2,USA,20,CAN,1968,1,0,1,1
2,USA,20,CAN,1969,1,0,1,1
2,USA,20,CAN,1970,1,0,1,1
2,USA,20,CAN,1971,1,0,1,1
2,USA,20,CAN,1972,1,0,1,1
2,USA,20,CAN,1973,1,0,1,1
2,USA,20,CAN,1974,1,0,1,1
2,USA,20,CAN,1975,1,0,1,1
2,USA,20,CAN,1976,1,0,1,1
2,USA,20,CAN,1977,1,0,1,1
2,USA,20,CAN,1978,1,0,1,1
2,USA,20,CAN,1979,1,0,1,1
2,USA,20,CAN,1980,1,0,1,1
2,USA,20,CAN,1981,1,0,1,1
2,USA,20,CAN,1982,1,0,1,1
2,USA,20,CAN,1983,1,0,1,1
2,USA,20,CAN,1984,1,0,1,1
2,USA,20,CAN,1985,1,0,1,1
2,USA,20,CAN,1986,1,0,1,1
2,USA,20,CAN,1987,1,0,1,1
2,USA,20,CAN,1988,1,0,1,1
2,USA,20,CAN,1989,1,0,1,1
2,USA,20,CAN,1990,1,0,1,1
2,USA,20,CAN,1991,1,0,1,1
2,USA,20,CAN,1992,1,0,1,1
2,USA,20,CAN,1993,1,0,1,1
2,USA,20,CAN,1994,1,0,1,1
2,USA,20,CAN,1995,1,0,1,1
2,USA,20,CAN,1996,1,0,1,1
2,USA,20,CAN,1997,1,0,1,1
2,USA,20,CAN,1998,1,0,1,1
2,USA,20,CAN,1999,1,0,1,1
2,USA,20,CAN,2000,1,0,1,1
2,USA,20,CAN,2001,1,0,1,1
2,USA,20,CAN,2002,1,0,1,1
2,USA,20,CAN,2003,1,0,1,1
2,USA,20,CAN,2004,1,0,1,1
2,USA,20,CAN,2005,1,0,1,1
2,USA,20,CAN,2006,1,0,1,1
2,USA,20,CAN,2007,1,0,1,1
2,USA,20,CAN,2008,1,0,1,1
2,USA,20,CAN,2009,1,0,1,1
2,USA,20,CAN,2010,1,0,1,1
2,USA,20,CAN,2011,1,0,1,1
2,USA,20,CAN,2012,1,0,1,1
2,USA,31,BHM,1982,1,0,1,1
2,USA,31,BHM,1983,1,0,1,1
2,USA,31,BHM,1984,1,0,1,1
2,USA,31,BHM,1985,1,0,1,1
2,USA,31,BHM,1986,1,0,1,1
2,USA,31,BHM,1987,1,0,1,1
2,USA,31,BHM,1988,1,0,1,1
2,USA,31,BHM,1989,1,0,1,1
2,USA,31,BHM,1990,1,0,1,1
2,USA,31,BHM,1991,1,0,1,1
2,USA,31,BHM,1992,1,0,1,1
2,USA,31,BHM,1993,1,0,1,1
2,USA,31,BHM,1994,1,0,1,1
2,USA,31,BHM,1995,1,0,1,1
2,USA,31,BHM,1996,1,0,1,1
2,USA,31,BHM,1997,1,0,1,1
2,USA,31,BHM,1998,1,0,1,1
2,USA,31,BHM,1999,1,0,1,1
2,USA,31,BHM,2000,1,0,1,1
2,USA,31,BHM,2001,1,0,1,1
2,USA,31,BHM,2002,1,0,1,1
2,USA,31,BHM,2003,1,0,1,1
2,USA,31,BHM,2004,1,0,1,1
2,USA,31,BHM,2005,1,0,1,1
2,USA,31,BHM,2006,1,0,1,1
2,USA,31,BHM,2007,1,0,1,1
2,USA,31,BHM,2008,1,0,1,1
2,USA,31,BHM,2009,1,0,1,1
2,USA,31,BHM,2010,1,0,1,1
2,USA,31,BHM,2011,1,0,1,1
2,USA,31,BHM,2012,1,0,1,1
2,USA,40,CUB,1936,0,0,0,1
2,USA,40,CUB,1937,0,0,0,1
2,USA,40,CUB,1938,0,0,0,1
2,USA,40,CUB,1939,0,0,0,1
2,USA,40,CUB,1940,0,0,0,1
2,USA,40,CUB,1941,0,0,0,1
2,USA,40,CUB,1942,0,0,0,1
2,USA,40,CUB,1943,0,0,0,1
2,USA,40,CUB,1944,0,0,0,1
2,USA,40,CUB,1945,1,0,0,1
2,USA,40,CUB,1946,1,0,0,1
2,USA,40,CUB,1947,1,0,1,1
2,USA,40,CUB,1948,1,0,1,1
2,USA,40,CUB,1949,1,0,1,1
2,USA,40,CUB,1950,1,0,1,1
2,USA,40,CUB,1951,1,0,1,1
2,USA,40,CUB,1952,1,0,1,1
2,USA,40,CUB,1953,1,0,1,1
2,USA,40,CUB,1954,1,0,1,1
2,USA,40,CUB,1955,1,0,1,1
2,USA,40,CUB,1956,1,0,1,1
2,USA,40,CUB,1957,1,0,1,1
2,USA,40,CUB,1958,1,0,1,1
2,USA,40,CUB,1959,1,0,1,1
2,USA,40,CUB,1960,1,0,1,1
2,USA,40,CUB,1961,1,0,1,1
2,USA,40,CUB,1962,1,0,1,1
2,USA,41,HAI,1936,0,0,0,1
2,USA,41,HAI,1937,0,0,0,1
2,USA,41,HAI,1938,0,0,0,1
2,USA,41,HAI,1939,0,0,0,1
2,USA,41,HAI,1940,0,0,0,1
2,USA,41,HAI,1941,0,0,0,1
2,USA,41,HAI,1942,0,0,0,1
2,USA,41,HAI,1943,0,0,0,1
2,USA,41,HAI,1944,0,0,0,1
2,USA,41,HAI,1945,1,0,0,1
2,USA,41,HAI,1946,1,0,0,1
2,USA,41,HAI,1947,1,0,1,1
2,USA,41,HAI,1948,1,0,1,1
2,USA,41,HAI,1949,1,0,1,1
2,USA,41,HAI,1950,1,0,1,1
2,USA,41,HAI,1951,1,0,1,1
2,USA,41,HAI,1952,1,0,1,1
2,USA,41,HAI,1953,1,0,1,1
