ccode,stateabb,year,major
2,USA,1816,0
2,USA,1817,0
2,USA,1818,0
2,USA,1819,0
2,USA,1820,0
2,USA,1821,0
2,USA,1822,0
2,USA,1823,0
2,USA,1824,0
2,USA,1825,0
2,USA,1826,0
2,USA,1827,0
2,USA,1828,0
2,USA,1829,0
2,USA,1830,0
2,USA,1831,0
2,USA,1832,0
2,USA,1833,0
2,USA,1834,0
2,USA,1835,0
2,USA,1836,0
2,USA,1837,0
2,USA,1838,0
2,USA,1839,0
2,USA,1840,0
2,USA,1841,0
2,USA,1842,0
2,USA,1843,0
2,USA,1844,0
2,USA,1845,0
2,USA,1846,0
2,USA,1847,0
2,USA,1848,0
2,USA,1849,0
2,USA,1850,0
2,USA,1851,0
2,USA,1852,0
2,USA,1853,0
2,USA,1854,0
2,USA,1855,0
2,USA,1856,0
2,USA,1857,0
2,USA,1858,0
2,USA,1859,0
2,USA,1860,0
2,USA,1861,0
2,USA,1862,0
2,USA,1863,0
2,USA,1864,0
2,USA,1865,0
2,USA,1866,0
2,USA,1867,0
2,USA,1868,0
2,USA,1869,0
2,USA,1870,0
2,USA,1871,0
2,USA,1872,0
2,USA,1873,0
2,USA,1874,0
2,USA,1875,0
2,USA,1876,0
2,USA,1877,0
2,USA,1878,0
2,USA,1879,0
2,USA,1880,0
2,USA,1881,0
2,USA,1882,0
2,USA,1883,0
2,USA,1884,0
2,USA,1885,0
2,USA,1886,0
2,USA,1887,0
2,USA,1888,0
2,USA,1889,0
2,USA,1890,0
2,USA,1891,0
2,USA,1892,0
2,USA,1893,0
2,USA,1894,0
2,USA,1895,0
2,USA,1896,0
2,USA,1897,0
2,USA,1898,1
2,USA,1899,1
2,USA,1900,1
2,USA,1901,1
2,USA,1902,1
2,USA,1903,1
2,USA,1904,1
2,USA,1905,1
2,USA,1906,1
2,USA,1907,1
2,USA,1908,1
2,USA,1909,1
2,USA,1910,1
2,USA,1911,1
2,USA,1912,1
2,USA,1913,1
2,USA,1914,1
2,USA,1915,1
2,USA,1916,1
2,USA,1917,1
2,USA,1918,1
2,USA,1919,1
2,USA,1920,1
2,USA,1921,1
2,USA,1922,1
2,USA,1923,1
2,USA,1924,1
2,USA,1925,1
2,USA,1926,1
2,USA,1927,1
2,USA,1928,1
2,USA,1929,1
2,USA,1930,1
2,USA,1931,1
2,USA,1932,1
2,USA,1933,1
2,USA,1934,1
2,USA,1935,1
2,USA,1936,1
2,USA,1937,1
2,USA,1938,1
2,USA,1939,1
2,USA,1940,1
2,USA,1941,1
2,USA,1942,1
2,USA,1943,1
2,USA,1944,1
2,USA,1945,1
2,USA,1946,1
2,USA,1947,1
2,USA,1948,1
2,USA,1949,1
2,USA,1950,1
2,USA,1951,1
2,USA,1952,1
2,USA,1953,1
2,USA,1954,1
2,USA,1955,1
2,USA,1956,1
2,USA,1957,1
2,USA,1958,1
2,USA,1959,1
2,USA,1960,1
2,USA,1961,1
2,USA,1962,1
2,USA,1963,1
2,USA,1964,1
2,USA,1965,1
2,USA,1966,1
2,USA,1967,1
2,USA,1968,1
2,USA,1969,1
2,USA,1970,1
2,USA,1971,1
2,USA,1972,1
2,USA,1973,1
2,USA,1974,1
2,USA,1975,1
2,USA,1976,1
2,USA,1977,1
2,USA,1978,1
2,USA,1979,1
2,USA,1980,1
2,USA,1981,1
2,USA,1982,1
2,USA,1983,1
2,USA,1984,1
2,USA,1985,1
2,USA,1986,1
2,USA,1987,1
2,USA,1988,1
2,USA,1989,1
2,USA,1990,1
2,USA,1991,1
2,USA,1992,1
2,USA,1993,1
2,USA,1994,1
2,USA,1995,1
2,USA,1996,1
2,USA,1997,1
2,USA,1998,1
2,USA,1999,1
2,USA,2000,1
2,USA,2001,1
2,USA,2002,1
2,USA,2003,1
2,USA,2004,1
2,USA,2005,1
2,USA,2006,1
2,USA,2007,1
2,USA,2008,1
2,USA,2009,1
2,USA,2010,1
2,USA,2011,1
2,USA,2012,1
2,USA,2013,1
2,USA,2014,1
20,CAN,1920,0
20,CAN,1921,0
20,CAN,1922,0
20,CAN,1923,0
20,CAN,1924,0
20,CAN,1925,0
20,CAN,1926,0
